Afrikaans,Category,English_Definition,English_Term,IsiNdebele,IsiXhosa,IsiZulu,Sepedi,Sesotho,Setswana,Siswati,Tshivenda,Xitsonga
Bywoon (onderwysinstelling),                             Education                                     ,"Enrolled at and going regularly to any accredited educational institution (public or private) for organised learning at any level of education. Attendance can be full-time or part-time, and distance learning is included. Temporary absence, e.g. due to illness, does not interrupt attendance.",Attend (educational institution),Funda/khamba isikolo,Ukufunda/ (iziko lezemfundo),Ukuya esikoleni; ukungena isikole,Tsena (sekolo),Ho kena sekolo,Tsena (Sekolo),Fundza,U dzhena (tshiimiswa tsha pfunzo),Nghena (xikolo)
Basiese onderwys,                            Education                                     ,Nine years of schooling from grade 1 to grade 9.,Basic education,IFundosisekelo,imfundo esisiseko,Imfundo eyisisekelo,Thuto ya motheo,Thuto ya motheo/mathomo,Thutotheo,Imfundvosisekelo,Pfunzo ya mutheo,Dyondzo ya masungulo
Verpligte onderwys,                            Education                                     ,The number of years or the age-span during which children and youth are legally obliged to attend school.,Compulsory education,Ifundo ekatelelekileko,Imfundo esisinyanzelo,Imfundo ephoqelekile,Thutokgapeletšego,Thuto ya tlameho; thuto e tlamang,Thutopateletso; thutokgapeletso,Imfundvo lephocelekile,Pfunzokhombekhombe,Dyondzo yo boha
Onverwerkte inskrywingsverhouding,                            Education                                     ,Percentage of the total enrolment at all levels to the total population.,Crude enrolment ratio,Iretjhiyo engakahlungwa yokutloliswa,Umlinganiselo wobhaliso olungahluzwanga,Isilinganiso esididiyele sababhalisile,Tekanyokelokakaretšo ya boingwadišo,Karolo ya baingodisi bohle; palo ya boingodiso bohle,Kabogotlhe ya ikwadiso,Sichatsanisosibalo salababhalisile,Ndivhanele ya kuṅwaliselevhisi,Mpimoxiave wa ntsarisombisi
Afstandsonderrig,                            Education                                     ,"Study by means of correspondence, telecommunication media or computer programmes. Courses are self-instructional and two-way communication takes place between student and the institution. Learners need not be on campus to attend classes but can continue their normal work programmes at home.",Distance learning,Ukufunda usekhaya,ukufunda ngembalelwano,Ukufunda ngeposi,Go ithuta o le gae,Thuto ka ngollano,Thutelagae,Kufundza ngeliposi / Kufundza khashane ngasese,U guda u hayani,Vudyondzawexe / Vudyondzayexe
Uitsakkoers,                            Education                                      ,Learners who leave the education system without completing a given grade. The drop-out rate is calculated as a residual figure which is derived after the repetition and promotion rates are calculated. The drop-out rate in a particular grade for a particular year is calculated by simply deducting the repetition and promotion rate for that particular grade and year from 100%.,Drop-out rate,Izinga labaqinteleko,izinga lokuyeka phakathi esikolweni,Izinga lokuyeka isikole,Reiti ya go tlogela sekolo/ Kelo ya balesasekolo,Sekgahla sa ho nyahlatsa dithuto,Kelotlogelosekolo,Lizinga lalabayekela sikolo,Phimo ya u litsha tshikolo/ vhamoḓi,Mpimo wa vutshikaxikolo
Onderwysinstelling,                            Education                                      ,"Any institution providing education. Inclusions: early childhood education, primary, secondary, further or higher education, institution providing specialised, vocational, adult, distance or community education.",Education institution,Iziko lezefundo,iziko lwemfundo,Isikhungo semfundo,Setheo / Sehlongwa sa thuto,Setsi / Setheo sa thuto / Institjushene ya thuto,Setheothuto,Sikhungo setemfundvo,Tshiimiswa tsha pfunzo,Ndhawu ya dyondzo
Onderwysprestasie,                            Education                                      ,Deprecated. Use highest level of education or educational attainment.,Educational achievement,Izinga lefundo,Impumelelo kwimfundo,Imfundo ezuziwe,Phihlelelo ya thuto,Boiphihlelo thutong,Phitlhelelothuto,Lokuzuziwe kutemfundvo,Pfunzotswikelelwa ya nṱhesa,Vuhumeleri eka tidyondzo
Onderwysvlak bereik,                            Education                                      ,See highest level of education.,Educational attainment,Izinga lefundo,Imfundo efumanekileyo,Imfundo okufinyelelwe kuyo,Phihlelelo ya thuto,Boiphihlelo thutong,Phitlhelelothutong,Sigaba lesiphakeme lofinyelele kuso,Pfunzotswikelelwa ya nṱhesa,Vuhumeleri eka tidyondzo
Onderwysinstelling,                            Education                                    ,"Any registered institution whose sole or main purpose is the provision of education, including preschool, tertiary, adult education, etc.",Educational institution,Iziko lefundo; isijamiso sefundo,Iziko lemfundo,Isikhungo semfundo,Lefelo la thuto/ insititušene ya thuto,Setsha se ngodisitsweng sa thuto; institjhushene ya thuto,Setheothuto; sekolo,Sikhungo setemfundvo,Tshiimiswa tsha pfunzo,Ndhawu yo dyondzela
Opvoeder,                            Education                                    ,"Any person who teaches, educates or trains other persons or who provides professional educational services.",Educator,Umfundisi / Umdlulisilwazi / Utitjhere,"umfundisi-ntsapho, umhlohli, utitshala",Umfundisi / Uthisha,Morutiši,Titjhere / Morupedi,Morutisi / Morutabana,Umfundzisi / Thishela,Mugudisi / Mudededzi,Mudyondzisi
Ingeskrewe leerder,                            Education                                    ,A learner who is registered at a school.,Enrolled learner,Umfundi otlolisileko / Otlolisiweko,umfundi obhalisileyo,Umfundi obhalisile,Morutwana yo a ngwadišitšwego,Moithuti ya ngodisitsweng,Morutwana / Morutwanakwadiswa,Umfundzi lobhalisile,Mugudi o ṅwaliswaho,Mudyondzi loyi a tsarisiweke
Inskrywing,                            Education                                    ,The act of officially being admitted to a programme of study.,Enrolment,Ukutlolisa,"ukubhaliswa, ubhaliso",Ukubhalisa,Boingwadišo,Ngodiso,Ikwadiso,Lubhaliso,U ṅwalisa / Vhuṅwalisi,Ntsariso wo dyondza
Inskrywingsverhouding,                            Education                                         ,Proportion of the population in a specified age group attending school to the total population in that age group.,Enrolment ratio,Iretjhiyo yokutloliswa,Umlinganiselo wobhaliso,Isilinganiso sababhalisile,Tekanyokelo ya boingwadišo,Karolo ya baingodisi; palo ya boingodiso,Kabokwadiso,Sichatsanisosibalo sekubhalisa,Ndivhanele ya kuṅwalisele,Mpimoxiave wa ntsariso
Studieveld,                            Education                                         ,The area of concentration of tertiary studies.,Field of study,Ikoro yeemfundo,Ikhondo lezemfundo,Umkhakha wezemfundo,Lefapa la boithutelo,Lekala le ikgethileng la thuto; lekala la thuto,Lekalathuto,Umkhakha wekufundza,Buḓo/sia ḽa ngudo,Muxaka wa tidyondzo
Formele onderwys,                            Education                                         ,The education attained at an educational institution that follow a given approved curriculum.,Formal education,Ifundo ehleliweko,Imfundo sesikweni,Imfundo ehlelekile,Thuto ya semolao,Thuto ya mananeo a hlophisitsweng; thuto e hlophisitsweng,Thutotlhomamo,Imfundvo lehlelekile,Pfunzonzudzanywa,Dyondzo ya ximfumo
Graad,                            Education                                         ,A stage of instruction usually covered in one school year.,Grade,Ibanga; igreyidi,Ibanga,Ibanga,Kereiti,Kereiti,Mophato; kereiti,Libanga,Murole / gireidi,Giredi
Graadspesifieke inskrywingsverhouding,                             Education                                      ,Ratio of the enrolment in a specific class to the total enrolment at all levels.,Grade-specific enrolment ratio,Iretjhiyo yokutloliswa ngamabanga,"Umlinganiselo wobhaliso lwebanga elithile /ireshiyo yobhaliso lwebanga elithile
",Isilinganiso sababhalisele ibanga elithile,Tekanyokelo ya boingwadišo kereiting ye e itšego,Karolo ya barutwana ho ya ka kereiti; palo ya boingodiso kereiting,Kabokwadiso ka mophato,Sichatsanisosibalo sekubhalisa ngekwelibanga,Ndivhanele ya kuṅwaliselendivhiswa kha murole / gireidi,Mpimoxiave wa ntsariso wa giredi yo karhi
Gegradueerde,                             Education                                      ,A student who has successfully completed all requirements of an educational programme and has been awarded a certificate of completion.,Graduate,Isifundiswa,"isinxiba-mxhaka, isifundiswa",Umfundi ophothulile,Sealoga,Lekrajueti,Sealogane,Loneticu temfundvo,Mugiradzhuweithi,Muthwasi
Bruto inskrywingsverhouding (BIV),                             Education                                      ,"The total enrolment of pupils in a grade or cycle or level of education, regardless of age, expressed as percentage of the corresponding eligible official age-group population in a given school year.",Gross enrolment ratio (GER),Iretjhiyo epheleleko yokutloliswa (I-GER),Umlinganiselo wobhaliso lulonke (iGER),Isamba sababhalisile,Tekanyokelokakaretšo ya boingwadišo,Karolo ya barutwana ho ya ka dilemo; palo ya boingodiso bohle,Kabokwadiso ya botlhe (KKB),Sichatsanisosibalo sekubhalisa lokuphelele,Ndivhanele ya kuṅwaliseleguṱe (GER),Mpimoxiave wa ntsariso hinkwawo (MNH)
Hoër onderwys,                             Education                                      ,"All learning programmes leading to qualifications higher than grade 12 or its equivalent in terms of the National Qualifications Framework as contemplated in the South African Qualifications Authority Act, 1995 (Act No. 58 of 1995), including tertiary education as contemplated in schedule 4 of the Constitution.",Higher education,Ifundo ephakemeko,imfundo ephakamileyo,Imfundo ephakeme,Thuto ya godimo,Thuto e phahameng,Thutokgolwane,Imfundvo lephakeme,Pfunzo ya nṱha,Dyondzo ya le henhla
Hoëronderwysinstelling,                            Education                                    ,"Any institution that provides higher education on a full-time or part-time basis, and which is established or deemed to be established as a public higher education institution under the Higher Education Act, 1997; and declared as a public higher education institution under the Higher Education Act, 1997.",Higher education institution,IZiko leFundo ePhakemeko,iziko lemfundo ephakamileyo,Isikhungo semfundo ephakeme,Setheo / Sehlongwa sa thuto ya godimo,Setheo sa thuto e phahemeng / Institjushene ya thuto e phahemeng,Setheothutokgolwane,Sikhungo semfundvo lephakeme,Tshiimiswa tsha pfunzo ya nṱha,Ndhawu ya dyondzo ya le henhla
Hoogste onderwysvlak,                            Education                                    ,The highest grade completed at school or the highest post-school qualification obtained. Synonym is educational attainment.,Highest level of education,Izinga eliphakemeko lefundo,Inqanaba eliphezulu lemfundo,Izinga/ iqophelo eliphezulu lemfundo,Legato la godimodimo la thuto,Boiphihlelo bo phahameng thutong,Phitlhelelokgolothutong,Lizinga lemfundvo leliphakeme lekugcina,Pfunzotswikelelwa ya nṱhesa,Mfikelelo wa le henhla wa tidyondzo
Tuisonderwys,                            Education                                    ,"A programme of education that a parent of a learner(s) may provide to his / her child at their own home. In addition a parent may, if necessary, enlist the specific services of a tutor for specific areas of the curriculum; or a legal independent form of education, alternative to attendance at a public or an independent school.",Home education,Ifundo yekhaya / Ifundiso,imfundo eqhutyelwa ekhaya,Ukufundela ekhaya,Thuto ya gae,Thuto ya lapeng,Thutelwagae / Thutelogae,Imfundvo yasekhaya,U funzelwa hayani,Dyondzo ya le kaya
Informele onderrig,                            Education                                    ,Learning that has been acquired outside a formal course of study taken at a post- secondary institution. Also expressed as non-formal or experiential learning.,Informal learning,Ukufunda okungakahleleki,ukufunda okungamiselekanga,Ukufunda okungahleliwe,Go ithuta mo e sego ga semmušo / Go ithuta go go sa elwego sekolong,Thuto ntle le ho kena sekolo,Thutotlhokathulaganyo / Thutelatseleng,Kufundza lokungakahleleki,U guda hu si ha fomaḽa/tshiofisi,Ku dyondza ko nkamafundza
Innamesyfer,                            Education                                    ,"The proportion of children, out of all children of admission age, who are coming to school for the first time.",Intake rate,Isilinganiso sabafikako,Umlinganiselo wolwamkelo,Isilinganiso sabemukelwayo/ sabathathwayo,Kelo ya ngwadišo,Sekgahla sa ba qalang sekolo; palo ya ba qalang sekolong,Kelokwadiso,Lizinga lekwemukela,Tshikalo tsha ṱhanganedzavhagudiswa,Mpimo wo amukela
Laatbeginnersyfer,                            Education                                    ,The proportion of all admissions to Grade 1 that are over the official admission age (over 7 years).,Late starters rate,Isilinganiso sabangena ngemva kwesikhathi,Umlinganisrelo wabaqala mva,Isilinganiso sabephuzayo ukuqala,Kelo ya ba go thoma morago,Sekgahla sa ba qalang ka morao ho nako; palo ya ba qalang ba le baholo,Kelo ya basimololathari,Lizinga lalabomacalamuva,Tshikalo tsha vhaṱanganedzwafhirelwa,Mpimo wa lava hundzeriweke hi nkarhi wo sungula xikolo
Leerder,                            Education                                    ,"Any person receiving education or obliged to receive education in terms of the South African Schools Act, 1996 (Act No. 84 of 1996).",Learner,Umfundi,"umfundi, umntwana wesikolo",Umfundi,Morutwana,Moithuti / Morutwana,Morutwana,Umfundzi,Mugudi,Mudyondzi
Leerder: opvoeder-verhouding,                            Education                                    ,Total number of students enrolled in a given school divided by the total number of educators in the same school.,Learner-educator ratio,Inani labafundi emfundisini,Umlinganiselo wabafundi kutitshala,Inani labafundi ngothisha,Tekanyokelo ya moithuti go morutiši,Karolelano ya barutwana ho ya ka matitjhere; palo ya baithuti ba matitjhere,Kabo ya baithuti-morutabaneng,Sichatsanisosibalo sebafundzi nebafundzisi,Ndivhanele ya vhagudiswa kha mugudisi,Mpimoxiave wa vadyondzi eka mudyondzisi
Leerarea,                            Education                                    ,The domains through which learners in the GET and FET bands experience a balanced curriculum. They serve as a sound basis for developing the learning programme to be implemented in schools. Eight learning areas were identified for GET and FET bands. Deprecated term is ‘subject’.,Learning area,Isifundo,"isifundo, inkalo yesifundo",Isifundo,Thuto,Thuto,Serutwa,Sifundvo,Sia ḽa ngudo,Xiyenge xo dyondza
Geletterdheid,                            Education                                    ,"Ability to read and write with understanding in any language. A person is literate who can, with understanding, both read and write a short simple statement on his everyday life.",Literacy,Ukufunda,Ulwazi lokufunda nokubhala,Ukwazi ukufunda nokubhala,Tsebo ya go bala le go ngwala,Tsebo ya ho bala le ho ngola,Bobuisokwalo,Kwati bubhala nekufundza,Vhufunzwa/ḽitheresi,Vuswikoti byo hlaya no tsala/literesi
